,0,1,2,3,4
826,Romance,Comedy,Animation,Drama,Family
828,Drama,Thriller,,,
829,Thriller,,,,
830,Romance,Drama,,,
831,Drama,,,,
832,Drama,Comedy,Romance,,
833,Drama,Romance,Science Fiction,,
834,Action,,,,
836,Thriller,Drama,,,
837,Horror,,,,
838,Action,Crime,Thriller,,
839,Thriller,,,,
840,Drama,Comedy,,,
841,Drama,Music,,,
842,Horror,,,,
843,Thriller,Crime,Horror,,
844,Drama,,,,
845,Thriller,Crime,Drama,Mystery,
847,Thriller,Science Fiction,,,
848,Comedy,,,,
849,Comedy,Horror,,,
850,Thriller,,,,
851,Horror,,,,
853,Drama,Comedy,Science Fiction,,
854,Drama,Thriller,,,
855,Music,Documentary,Drama,,
856,Family,Drama,,,
857,Comedy,Drama,,,
859,Drama,Comedy,,,
860,Thriller,Drama,,,
861,Thriller,Horror,Drama,,
863,Thriller,Horror,,,
864,Comedy,Adventure,Crime,Family,
868,Thriller,Action,,,
869,Horror,Mystery,Thriller,,
870,Comedy,Drama,Horror,,
871,Drama,Comedy,,,
872,Drama,,,,
873,Comedy,,,,
874,Horror,,,,
875,Comedy,,,,
876,Thriller,Action,Science Fiction,,
878,Drama,,,,
879,Comedy,Horror,,,
880,Drama,Music,,,
881,Drama,,,,
882,Drama,,,,
884,Drama,Mystery,Thriller,,
885,Thriller,Drama,Science Fiction,,
886,Thriller,Drama,,,
888,Comedy,,,,
889,Adventure,Animation,Family,Fantasy,
890,Drama,,,,
891,Documentary,,,,
892,Drama,Romance,,,
893,Documentary,Family,,,
896,Action,Adventure,,,
897,Drama,,,,
898,Horror,Action,Comedy,,
901,Comedy,Drama,Romance,,
902,History,Drama,,,
903,Fantasy,Comedy,,,
905,Horror,Action,,,
906,Comedy,,,,
908,Action,Fantasy,Comedy,Horror,Mystery
909,Drama,,,,
915,Drama,,,,
916,Drama,Action,Crime,,
917,Horror,Thriller,,,
918,Crime,Comedy,,,
919,Horror,,,,
920,Thriller,Horror,Science Fiction,,
921,Drama,,,,
922,Comedy,Romance,Music,,
